record_id,machine_serial,machine_type_class,ambient_temp_k,engine_temp_k,rpm_speed,torque_nm,operating_hours_wear,failure_flag,TWF,HDF,PWF,OSF,RNF,worker_x,worker_y,worker_z,machine_x,machine_y,machine_z,distance_3d,worker_speed,machine_speed,relative_speed,direction_worker,direction_machine,ttc,in_restricted_zone,machine_status,worker_bpm,fatigue_index,vibration_rms,acceleration_z,gas_co_ppm,dust_density_mg_m3,ambient_light_lux,risk_level
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,187.27005942368123,112.09224554000954,-252.50126675752222,363.92656771574144,173.80831520568557,-495.11937211642186,306.3983358715635,0.7469038309217133,7.755,8.501903830921712,7,2,36.038791071381254,0,1,79.01253135252543,0.4988198381775851,0.8170437764603622,11.097039903032186,6.843705939586425,4.816089040095541,45.4900530892833,0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,475.3571532049581,99.87362886942098,-661.6160033009663,285.43771631744795,206.88329757695075,-269.0662709337489,449.0164296394267,0.6707828258081179,7.04,7.710782825808118,3,5,58.232275474879316,0,1,111.19345156293359,0.3738516119716175,2.5836084368107524,9.637988406095989,58.51817081119503,0.782259361777869,47.000554376733014,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,365.99697090570254,52.846173750858014,-540.0202292225854,29.125566207435337,3.797549214206042,-723.0062127870491,386.48671523530453,1.1103487025341896,7.49,8.60034870253419,3,6,44.938493612639434,0,3,87.3284788639917,0.3158301649327497,0.3413897150695189,8.682373756012797,14.551922079091062,3.675078631471397,25.557928531148015,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,299.3292420985183,182.1800010304464,-302.5395223566363,297.33912547107246,160.08006555653967,-304.94198537623265,22.319039869631606,0.24796540258649913,7.165,7.412965402586499,4,5,3.0108112823303,0,0,85.02728507243877,0.11698701915878001,3.6219302191414355,11.281314422110949,0.23900118769668174,4.385546281237751,57.11518367324638,2
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,78.00932022121826,142.98724815258868,-438.43299160664003,266.32974388786533,109.30062256537187,-301.3254216377823,235.36749235228723,0.6789734527286383,7.04,7.718973452728639,2,3,30.492071749396338,0,3,75.31481477845847,0.39566523627766514,3.2881930431723445,10.004952985999216,42.962758199627785,0.36911322088548343,53.78102376407167,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,77.99726016810132,259.7102976972011,-246.07172102382958,325.7655959613435,193.08309683884895,-462.78506701222966,335.84670081074194,0.7254705786551208,7.125,7.850470578655121,5,6,42.780454680498465,0,3,90.3135711216272,0.3820286380169784,6.135598516265698,8.84558358561592,9.216478220661637,1.11612605185641,34.78994402762301,1
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,29.04180608409973,9.632874144617476,-79.09407408285517,411.4368082579333,36.71772905397056,-634.095893715682,674.5269059487069,0.8536421459552628,7.79,8.643642145955262,4,4,78.03734751609859,0,3,95.67381595908972,0.31532379110060965,3.364716539328221,10.270192707291594,0.7439803507145133,1.1615112607742684,20.730929106293278,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,433.0880728874676,193.1603782665379,-712.5899842136018,239.13646207776966,171.43682417676058,-413.1579707145306,357.41946064264044,1.0704815590695598,7.635,8.70548155906956,4,5,41.056828185486545,0,0,87.65115912957584,0.5274033856895438,1.6862065690484696,10.63408307535626,5.094696404423687,1.873698298799941,41.564038775622215,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,300.5575058716044,228.88466355346833,-267.82421270145426,338.26523937952857,203.537859169929,-336.030821352035,81.95410375555034,0.8618927657801158,8.334999999999999,9.196892765780115,0,3,8.911064404326419,0,3,95.59262750670015,0.15617978105109007,5.2882175973887335,11.569176682059267,11.68836127602843,1.1495932120443084,46.11159430136305,1
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,354.03628889802275,227.8459707564921,-627.2418832759141,366.8278304785445,47.231413732886054,-496.1982495295208,223.51213768003413,0.7347342766603008,8.705,9.439734276660301,1,7,23.6777997271244,0,2,73.11727608040344,0.12348507393123592,1.4771939835314023,10.326486495447863,22.648570947421856,2.211855447927938,44.06509512304144,1
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.292247147901223,265.82219012865755,-489.14245444432305,306.52634648905297,273.64644112776114,-670.299552206917,347.32370288525715,1.0506844870739194,8.91,9.96068448707392,6,1,34.86946136442557,0,3,65.49811685236733,0.3960976360958516,1.3054211198061623,9.128374905012302,10.651720764856275,7.0740266621503824,71.09294114266301,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,484.95492608099715,218.71012284884821,-775.3529556536452,176.10812618371318,227.23992211353388,-314.3624986001925,554.9516238165629,0.8852380006663372,7.115,8.000238000666338,4,4,69.36688930633578,0,2,80.3470096368433,0.4254935825549385,0.6868463446598387,9.262730299271471,14.131633278611833,0.7898799666032316,42.320309427758914,1
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,416.22132040021086,278.34301849430886,-698.0694632804758,65.94774151382154,160.1758681717847,-709.094758930247,369.83322271720056,0.8388163696114261,6.695,7.533816369611427,1,2,49.089758042015504,0,0,92.66697412486013,0.20676256001568744,3.396442375286153,11.04917410048765,16.795532730701762,2.3953330477067696,50.71924349666485,0
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,106.16955533913807,99.79697994626744,-560.1670332133252,323.7692722647509,49.819810775070316,-309.8485187226378,335.4202035377383,1.280495920987272,8.71,9.990495920987273,2,3,33.57392928143968,0,1,103.58984351303044,0.4375932336877081,3.541365564732652,9.32202543658549,6.09693163197869,3.48404541372936,58.22184157454306,0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,90.91248360355031,150.96282502546293,-543.5106460340113,384.3481659061999,259.66541082463505,-596.8703923607308,317.43978064492757,1.0907067167886964,10.175,11.265706716788698,0,3,28.177529259825622,0,1,125.24143402870394,0.7432538060698377,4.927123361829736,8.083057540454364,5.153561945866487,0.24968372954216786,73.01844675981755,1
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,91.7022549267169,4.223898984867203,-125.31108765342822,94.91355932698087,20.5877906247261,-798.9537433360019,673.8490312975323,1.5963297023932386,7.71,9.306329702393239,6,2,72.40760351787705,0,2,96.60641140693889,0.26338311539351383,0.9591871325184051,9.963629366584222,6.460479591588838,1.9155380292678008,27.968768219875216,0
