worker_id,timestep,worker_x,worker_y,worker_z,machine_x,machine_y,machine_z,distance_3d,worker_speed,machine_speed,relative_speed,ttc,in_restricted_zone,worker_bpm,fatigue_index,gas_co_ppm,dust_density_mg_m3,ambient_light_lux,risk_level
1,1,101.5,50.67,-300.0,135.18,75.93,-300.0,42.1,0.48,2.12,2.6,16.19,0,76.0,0.145,6.78,0.95,46.7,1
1,2,103.0,51.33,-300.0,137.25,77.01,-300.0,42.81,0.65,2.67,3.33,12.87,0,76.2,0.145,7.6,1.07,45.8,0
1,3,104.5,51.99,-300.0,139.17,77.99,-300.0,43.33,0.84,1.97,2.81,15.43,0,77.2,0.144,7.68,1.15,46.4,1
1,4,106.0,52.64,-300.0,139.86,78.03,-300.0,42.32,0.56,2.23,2.79,15.16,0,76.7,0.143,8.31,1.23,45.9,0
1,5,107.5,53.27,-300.0,142.34,79.4,-300.0,43.54,0.98,4.2,5.18,8.4,0,77.8,0.142,8.22,1.4,45.7,1
1,6,109.0,53.89,-300.0,143.21,79.55,-300.0,42.76,0.89,3.12,4.01,10.67,0,76.8,0.142,7.31,1.36,45.7,0
1,7,110.5,54.5,-300.0,144.91,80.31,-300.0,43.01,0.55,3.81,4.36,9.87,0,75.4,0.141,7.49,1.53,45.2,1
1,8,112.0,55.08,-300.0,146.21,80.74,-300.0,42.76,1.03,2.51,3.54,12.08,0,74.6,0.142,7.67,1.5,45.4,0
1,9,113.5,55.65,-300.0,149.28,82.48,-300.0,44.73,0.72,2.59,3.31,13.5,0,75.6,0.144,7.4,1.7,44.6,0
1,10,115.0,56.18,-300.0,149.59,82.12,-300.0,43.23,0.77,2.97,3.74,11.56,0,76.1,0.143,7.47,1.67,44.6,0
1,11,116.5,56.69,-300.0,150.42,82.13,-300.0,42.4,0.97,2.79,3.76,11.29,0,75.5,0.144,7.68,1.76,45.1,2
1,12,118.0,57.17,-300.0,153.12,83.51,-300.0,43.9,0.63,2.05,2.69,16.34,0,76.5,0.145,7.78,1.76,45.9,1
1,13,119.5,57.62,-300.0,153.31,82.98,-300.0,42.27,0.68,2.94,3.62,11.68,0,76.4,0.145,8.21,1.84,46.5,0
1,14,121.0,58.04,-300.0,155.73,84.08,-300.0,43.41,1.06,2.52,3.58,12.13,0,77.1,0.144,8.37,1.83,46.7,0
1,15,122.5,58.41,-300.0,155.84,83.42,-300.0,41.68,0.92,1.85,2.76,15.08,0,79.3,0.143,8.06,1.91,47.2,0
1,16,124.0,58.76,-300.0,157.74,84.06,-300.0,42.18,0.92,3.0,3.93,10.74,0,79.0,0.143,8.15,1.86,47.8,1
1,17,125.5,59.06,-300.0,160.22,85.1,-300.0,43.4,0.77,1.84,2.61,16.63,0,78.5,0.143,8.05,1.78,48.0,0
1,18,127.0,59.32,-300.0,162.07,85.62,-300.0,43.83,0.85,2.09,2.94,14.89,0,77.8,0.143,7.69,1.66,47.7,1
1,19,128.5,59.54,-300.0,163.2,85.57,-300.0,43.38,0.76,2.75,3.51,12.37,0,79.2,0.144,7.75,1.68,47.3,0
1,20,130.0,59.72,-300.0,164.52,85.61,-300.0,43.15,0.8,2.27,3.07,14.08,0,79.3,0.143,8.01,1.81,47.4,1
1,21,131.5,59.85,-300.0,165.9,85.66,-300.0,43.0,0.88,3.05,3.93,10.94,0,78.7,0.144,8.09,1.82,47.1,1
1,22,133.0,59.95,-300.0,166.65,85.18,-300.0,42.06,0.8,2.9,3.7,11.36,0,79.9,0.145,8.81,1.77,47.7,1
1,23,134.5,59.99,-300.0,168.63,85.59,-300.0,42.67,0.84,4.25,5.09,8.39,0,78.8,0.144,8.64,1.63,47.5,2
1,24,136.0,60.0,-300.0,170.3,85.72,-300.0,42.88,0.65,2.62,3.27,13.12,0,79.0,0.146,8.96,1.6,47.1,1
